Category,Detail,Cost,Date,Month_period,WeekofYear,DayofWeek,Day_of_Week_Category,Month
Eating Out,Brunch,15.0,2022-07-25,Jul - Aug 22,30,0,Weekday,7
Shopping,Uniqlo,144.5,2022-07-25,Jul - Aug 22,30,0,Weekday,7
Hobbies,Salsa Class,130.0,2022-07-27,Jul - Aug 22,30,2,Weekday,7
Groceries,Groceries,6.78,2022-07-27,Jul - Aug 22,30,2,Weekday,7
Eating Out,Ditsch,2.0,2022-07-27,Jul - Aug 22,30,2,Weekday,7
Groceries,Groceries,45.27,2022-07-27,Jul - Aug 22,30,2,Weekday,7
Rent + Bills,Shared Rent + Bills expenses,14.18,2022-07-28,Jul - Aug 22,30,3,Weekday,7
Groceries,Groceries,10.89,2022-07-29,Jul - Aug 22,30,4,Weekday,7
Groceries,Groceries,29.06,2022-07-29,Jul - Aug 22,30,4,Weekday,7
Eating Out,Ditsch,2.2,2022-07-29,Jul - Aug 22,30,4,Weekday,7
Rent + Bills,Moving,17.78,2022-07-31,Jul - Aug 22,30,6,Weekend,7
Investment,Weekly ETH,6.0,2022-08-01,Jul - Aug 22,31,0,Weekday,8
Groceries,Groceries,65.17,2022-08-01,Jul - Aug 22,31,0,Weekday,8
Rent + Bills,Rent,500.0,2022-08-01,Jul - Aug 22,31,0,Weekday,8
Transport,BVG,9.0,2022-08-01,Jul - Aug 22,31,0,Weekday,8
Rent + Bills,Phone,20.0,2022-08-12,Jul - Aug 22,32,4,Weekday,8
Investment,Weekly ETH,6.0,2022-07-25,Jul - Aug 22,30,0,Weekday,7
Investment,Weekly ETH,10.0,2022-08-08,Jul - Aug 22,32,0,Weekday,8
Investment,Weekly ETH,10.0,2022-08-15,Jul - Aug 22,33,0,Weekday,8
Investment,Weekly ETH,10.0,2022-08-22,Jul - Aug 22,34,0,Weekday,8
Rent + Bills,Postal re-route,30.9,2022-08-02,Jul - Aug 22,31,1,Weekday,8
Groceries,Groceries,19.59,2022-08-03,Jul - Aug 22,31,2,Weekday,8
Eating Out,Snacks,1.0,2022-08-03,Jul - Aug 22,31,2,Weekday,8
Hobbies,Salsa Class,39.0,2022-08-05,Jul - Aug 22,31,4,Weekday,8
Investment,Bi-Weekly ETF,50.0,2022-08-16,Jul - Aug 22,33,1,Weekday,8
Investment,Stock,10.0,2022-08-16,Jul - Aug 22,33,1,Weekday,8
Groceries,Groceries,19.49,2022-08-03,Jul - Aug 22,31,2,Weekday,8
Groceries,Groceries,18.62,2022-08-06,Jul - Aug 22,31,5,Weekend,8
Rent + Bills,Passport photos,10.0,2022-08-08,Jul - Aug 22,32,0,Weekday,8
Eating Out,Restaurant + Drinks,25.3,2022-08-06,Jul - Aug 22,31,5,Weekend,8
Hobbies,Salsa Festival Surcharge,5.34,2022-08-08,Jul - Aug 22,32,0,Weekday,8
Rent + Bills,Driver license conversion,36.3,2022-08-08,Jul - Aug 22,32,0,Weekday,8
Transport,BVG,11.5,2022-08-08,Jul - Aug 22,32,0,Weekday,8
Groceries,Groceries,30.62,2022-08-09,Jul - Aug 22,32,1,Weekday,8
Student Loan,Student Loan,86.4,2022-08-10,Jul - Aug 22,32,2,Weekday,8
Groceries,Groceries,31.3,2022-08-11,Jul - Aug 22,32,3,Weekday,8
Groceries,Groceries,18.99,2022-08-12,Jul - Aug 22,32,4,Weekday,8
Eating Out,Sisyphos,38.0,2022-08-13,Jul - Aug 22,32,5,Weekend,8
Rent + Bills,Google,1.88,2022-08-04,Jul - Aug 22,31,3,Weekday,8
Rent + Bills,Patreon,1.77,2022-08-01,Jul - Aug 22,31,0,Weekday,8
Rent + Bills,Insurance,4.94,2022-07-29,Jul - Aug 22,30,4,Weekday,7
Groceries,Groceries,6.72,2022-08-15,Jul - Aug 22,33,0,Weekday,8
Groceries,Groceries,8.04,2022-08-15,Jul - Aug 22,33,0,Weekday,8
Eating Out,Post salsa pizza,2.7,2022-08-15,Jul - Aug 22,33,0,Weekday,8
Groceries,Groceries,5.16,2022-08-16,Jul - Aug 22,33,1,Weekday,8
Eating Out,Pub Quiz,10.0,2022-08-17,Jul - Aug 22,33,2,Weekday,8
Groceries,Groceries,1.43,2022-08-18,Jul - Aug 22,33,3,Weekday,8
Groceries,Groceries,11.21,2022-08-19,Jul - Aug 22,33,4,Weekday,8
Eating Out,Brunch,15.0,2022-08-21,Jul - Aug 22,33,6,Weekend,8
Groceries,Groceries,33.73,2022-08-20,Jul - Aug 22,33,5,Weekend,8
Shopping,Flea market,31.0,2022-08-21,Jul - Aug 22,33,6,Weekend,8
Eating Out,Juice,5.2,2022-08-21,Jul - Aug 22,33,6,Weekend,8
Travel,Poland Bus,1.0,2022-08-22,Jul - Aug 22,34,0,Weekday,8
Shopping,Birthday present,25.79,2022-08-23,Jul - Aug 22,34,1,Weekday,8
Travel,Train castellvi,5.5,2022-08-24,Jul - Aug 22,34,2,Weekday,8
Travel,YEGO,3.9,2022-08-24,Jul - Aug 22,34,2,Weekday,8
Healthcare,Pills pills pills ,17.72,2022-08-24,Jul - Aug 22,34,2,Weekday,8
Investment,Weekly ETH,10.0,2022-08-29,Aug - Sep 22,35,0,Weekday,8
Investment,Weekly ETH,10.0,2022-09-05,Aug - Sep 22,36,0,Weekday,9
Investment,Weekly ETH,10.0,2022-09-12,Aug - Sep 22,37,0,Weekday,9
Investment,Weekly ETH,10.0,2022-09-19,Aug - Sep 22,38,0,Weekday,9
Investment,Bi-Weekly ETF,50.0,2022-09-02,Aug - Sep 22,35,4,Weekday,9
Investment,Bi-Weekly ETF,50.0,2022-09-16,Aug - Sep 22,37,4,Weekday,9
Investment,Bi-Weekly Stock,10.0,2022-08-30,Aug - Sep 22,35,1,Weekday,8
Investment,Bi-Weekly Stock,10.0,2022-09-13,Aug - Sep 22,37,1,Weekday,9
Rent + Bills,Rent,500.0,2022-09-01,Aug - Sep 22,35,3,Weekday,9
Rent + Bills,Phone,25.19,2022-09-12,Aug - Sep 22,37,0,Weekday,9
Rent + Bills,Google,1.88,2022-09-04,Aug - Sep 22,35,6,Weekend,9
Rent + Bills,Patreon,1.77,2022-09-01,Aug - Sep 22,35,3,Weekday,9
Rent + Bills,Insurance,4.94,2022-08-29,Aug - Sep 22,35,0,Weekday,8
Student Loan,Student Loan,86.4,2022-09-10,Aug - Sep 22,36,5,Weekend,9
Transport,BVG,63.42,2022-09-01,Aug - Sep 22,35,3,Weekday,9
Healthcare,Pills pills pills,82.35,2022-08-25,Aug - Sep 22,34,3,Weekday,8
Healthcare,Tampons,7.65,2022-08-26,Aug - Sep 22,34,4,Weekday,8
Groceries,Olive oil,37.0,2022-08-26,Aug - Sep 22,34,4,Weekday,8
Shopping,Libro de la abuela,25.75,2022-08-26,Aug - Sep 22,34,4,Weekday,8
Groceries,Spanish foooood,43.28,2022-08-30,Aug - Sep 22,35,1,Weekday,8
Travel,Taxi airport,26.15,2022-08-31,Aug - Sep 22,35,2,Weekday,8
Hobbies,Salsa,120.0,2022-09-06,Aug - Sep 22,36,1,Weekday,9
Travel,Travel,64.75,2022-09-04,Aug - Sep 22,35,6,Weekend,9
Healthcare,Finger cut,12.5,2022-09-03,Aug - Sep 22,35,5,Weekend,9
Groceries,Groceries,20.94,2022-09-03,Aug - Sep 22,35,5,Weekend,9
Eating Out,Thai park,13.5,2022-09-04,Aug - Sep 22,35,6,Weekend,9
Groceries,Groceries,8.79,2022-09-05,Aug - Sep 22,36,0,Weekday,9
Travel,Baptism flight,61.49,2022-09-05,Aug - Sep 22,36,0,Weekday,9
Travel,Train tickets to visit Fran,67.3,2022-09-05,Aug - Sep 22,36,0,Weekday,9
Healthcare,Teeth cleaning,65.0,2022-09-14,Aug - Sep 22,37,2,Weekday,9
Travel,Poland hotel,56.0,2022-09-09,Aug - Sep 22,36,4,Weekday,9
Rent + Bills,UK Phone,10.0,2022-09-13,Aug - Sep 22,37,1,Weekday,9
Eating Out,Date,18.5,2022-09-08,Aug - Sep 22,36,3,Weekday,9
Travel,Salsa Festival,62.02,2022-09-09,Aug - Sep 22,36,4,Weekday,9
Transport,Extension ticket BVG,1.8,2022-09-12,Aug - Sep 22,37,0,Weekday,9
Groceries,Groceries,16.97,2022-09-12,Aug - Sep 22,37,0,Weekday,9
Transport,Extension ticket,1.8,2022-09-13,Aug - Sep 22,37,1,Weekday,9
Shopping,Avanico,1.5,2022-09-14,Aug - Sep 22,37,2,Weekday,9
Rent + Bills,Phone surcharge,4.0,2022-09-14,Aug - Sep 22,37,2,Weekday,9
Groceries,Fruit,0.72,2022-09-19,Aug - Sep 22,38,0,Weekday,9
Shopping,Hot water bottle,6.75,2022-09-20,Aug - Sep 22,38,1,Weekday,9
Shopping,DM,25.25,2022-09-21,Aug - Sep 22,38,2,Weekday,9
Shopping,Vase and tea spoon,7.9,2022-09-21,Aug - Sep 22,38,2,Weekday,9
Groceries,Groceries,22.06,2022-09-21,Aug - Sep 22,38,2,Weekday,9
Groceries,Groceries,0.64,2022-09-22,Aug - Sep 22,38,3,Weekday,9
Groceries,Groceries,6.24,2022-09-23,Aug - Sep 22,38,4,Weekday,9
Eating Out,Drinks,14.8,2022-09-23,Aug - Sep 22,38,4,Weekday,9
Healthcare,Moisturiser,8.69,2022-09-24,Aug - Sep 22,38,5,Weekend,9
Groceries,Groceries,10.86,2022-09-24,Aug - Sep 22,38,5,Weekend,9
Investment,Weekly ETH,10.0,2022-09-26,Sep - Oct 22,39,0,Weekday,9
Investment,Weekly ETH,10.0,2022-10-03,Sep - Oct 22,40,0,Weekday,10
Investment,Weekly ETH,10.0,2022-10-10,Sep - Oct 22,41,0,Weekday,10
Investment,Weekly ETH,10.0,2022-10-17,Sep - Oct 22,42,0,Weekday,10
Investment,Bi-Weekly ETF,50.0,2022-10-03,Sep - Oct 22,40,0,Weekday,10
Investment,Bi-Weekly ETF,105.0,2022-10-17,Sep - Oct 22,42,0,Weekday,10
Investment,Bi-Weekly Stock,10.0,2022-10-03,Sep - Oct 22,40,0,Weekday,10
Investment,Bi-Weekly Stock,10.0,2022-10-17,Sep - Oct 22,42,0,Weekday,10
Rent + Bills,Rent,500.0,2022-10-01,Sep - Oct 22,39,5,Weekend,10
Rent + Bills,Phone,25.19,2022-10-12,Sep - Oct 22,41,2,Weekday,10
Rent + Bills,Google,1.88,2022-10-04,Sep - Oct 22,40,1,Weekday,10
Rent + Bills,Patreon,1.77,2022-10-01,Sep - Oct 22,39,5,Weekend,10
Rent + Bills,Insurance,4.94,2022-09-29,Sep - Oct 22,39,3,Weekday,9
Student Loan,Student Loan,86.4,2022-10-10,Sep - Oct 22,41,0,Weekday,10
Transport,BVG,29.0,2022-10-01,Sep - Oct 22,39,5,Weekend,10
Rent + Bills,UK Phone,10.0,2022-10-13,Sep - Oct 22,41,3,Weekday,10
Shopping,Shoes + jacket,100.0,2022-09-25,Sep - Oct 22,38,6,Weekend,9
Groceries,Groceries,40.0,2022-09-26,Sep - Oct 22,39,0,Weekday,9
Eating Out,Lunch,10.0,2022-09-27,Sep - Oct 22,39,1,Weekday,9
Groceries,Groceries,8.69,2022-09-28,Sep - Oct 22,39,2,Weekday,9
Transport,BVG extension ticket ,1.8,2022-09-28,Sep - Oct 22,39,2,Weekday,9
Travel,Copenhagen,143.0,2022-10-02,Sep - Oct 22,39,6,Weekend,10
Transport,BVG from airport,4.15,2022-10-02,Sep - Oct 22,39,6,Weekend,10
Groceries,Groceries,54.87,2022-10-05,Sep - Oct 22,40,2,Weekday,10
Travel,Flight back from BCN,46.99,2022-10-05,Sep - Oct 22,40,2,Weekday,10
Transport,Train to Stratford,10.5,2022-10-05,Sep - Oct 22,40,2,Weekday,10
Transport,Bus to airport,11.47,2022-10-05,Sep - Oct 22,40,2,Weekday,10
Shopping,iPhone case,11.36,2022-10-06,Sep - Oct 22,40,3,Weekday,10
Eating Out,Drinks,15.3,2022-10-07,Sep - Oct 22,40,4,Weekday,10
Eating Out,Burger,10.0,2022-10-07,Sep - Oct 22,40,4,Weekday,10
Shopping,Market,30.0,2022-10-08,Sep - Oct 22,40,5,Weekend,10
Groceries,Groceries,26.34,2022-10-08,Sep - Oct 22,40,5,Weekend,10
Groceries,Groceries,14.11,2022-10-08,Sep - Oct 22,40,5,Weekend,10
Eating Out,Lunch,14.5,2022-10-11,Sep - Oct 22,41,1,Weekday,10
Groceries,Groceries,24.85,2022-10-12,Sep - Oct 22,41,2,Weekday,10
Transport,Airport BVG,3.45,2022-10-13,Sep - Oct 22,41,3,Weekday,10
Shopping,Sweater,39.9,2022-10-14,Sep - Oct 22,41,4,Weekday,10
Shopping,Eyebrows + cash,11.5,2022-10-15,Sep - Oct 22,41,5,Weekend,10
Groceries,Groceries,3.16,2022-10-15,Sep - Oct 22,41,5,Weekend,10
Transport,Train,1.8,2022-10-19,Sep - Oct 22,42,2,Weekday,10
Eating Out,Boots meal deal,5.84,2022-10-19,Sep - Oct 22,42,2,Weekday,10
Investment,Weekly ETH,10.0,2022-10-24,Sep - Oct 22,43,0,Weekday,10
Healthcare,Pharmacy,15.44,2022-10-20,Sep - Oct 22,42,3,Weekday,10
Groceries,Groceries,43.34,2022-10-20,Sep - Oct 22,42,3,Weekday,10
Groceries,Groceries,8.06,2022-10-21,Sep - Oct 22,42,4,Weekday,10
Groceries,Groceries,28.72,2022-10-22,Sep - Oct 22,42,5,Weekend,10
Rent + Bills,Legal Insurance,7.9,2022-10-24,Sep - Oct 22,43,0,Weekday,10
Rent + Bills,Rent,500.0,2022-11-01,Oct - Nov 22,44,1,Weekday,11
Rent + Bills,Phone,25.19,2022-11-12,Oct - Nov 22,45,5,Weekend,11
Rent + Bills,Google,1.88,2022-11-04,Oct - Nov 22,44,4,Weekday,11
Rent + Bills,Personal Liability Insurance,4.94,2022-11-01,Oct - Nov 22,44,1,Weekday,11
Student Loan,Student Loan,86.4,2022-11-10,Oct - Nov 22,45,3,Weekday,11
Transport,BVG,28.58,2022-11-01,Oct - Nov 22,44,1,Weekday,11
Rent + Bills,UK Phone,10.0,2022-11-13,Oct - Nov 22,45,6,Weekend,11
Rent + Bills,Legal Insurance,35.0,2022-11-01,Oct - Nov 22,44,1,Weekday,11
